Date,Instrument,First Trade Date,ClosePrice,OpenPrice,Volume,BidPrice,AskPrice,DividendYield,BookValuePerShare,Beta,MarketCap,CommonSharesOutstanding,MonthlyReturn,EconomicSector,EarningsPerShare,RIC,Momentum_3M,Momentum_6M,Momentum_12M,Volatility_3M,Volatility_6M,Volatility_12M,BidAskSpread,TurnoverRatio,BrentOil,USDNOK,EURNOK,US10Y,USCPI,USGDPGrowth,OSEBXReturns,NorgesBank10Y,NorwegianCPI
2018-07-31,YAR.OL,2004-03-25,342.981101,348.031948,790504.0,342.981101,343.0764,1.8060572381217,33.764267874,1.37503398747034,98331097016.9998,273217830.0,6.47928994017046,Basic Materials,1.83443,YAR.OL,0.0616519174041299,-0.0286099865047232,0.1487392275774017,3.998014775095654,5.004758661050464,6.369820467276532,0.0002778549597108,0.0028933104402446,79.44000244140625,8.1316499710083,9.520540237426758,2.96,251.214,2.5,0.01963283376713,1.777,108.9
2018-08-31,YAR.OL,2004-03-25,367.85414,373.57208,925969.0,367.85414,368.140037,1.6839378238342,33.764267874,1.36344807548146,105462082380.0,273217830.0,7.25201444906278,Basic Materials,1.83443,YAR.OL,0.1447212336892052,0.0975263008245663,0.2165143397415694,4.78792549268661,4.918843312519238,6.585599566648405,0.0007772020725389,0.0033891236161271,77.41999816894531,8.346719741821289,9.735980033874512,2.86,251.663,2.5,0.0114792255099165,1.809,108.4
2018-09-30,YAR.OL,2004-03-25,380.910103,375.096864,0.0,380.528907,380.910103,1.62621966474856,33.764267874,1.359936346741,109205166650.999,273217830.0,1.73072028686148,Basic Materials,1.79466,YAR.OL,0.1825443786982248,0.2071881606765326,0.1205494813568825,2.989724238803312,3.2928131679260977,5.048773700950603,0.0010007505629221,0.0,82.72000122070312,8.144100189208984,9.451800346374512,3.05,252.182,2.5,0.0348189648492995,1.903,109.0
2018-10-31,YAR.OL,2004-03-25,345.649473,338.692646,788108.0,345.268277,345.649473,1.7921146953405,33.764267874,1.4254031590497,99096106940.9995,273217830.0,-9.25694270708675,Basic Materials,1.66495,YAR.OL,0.0077799388719088,0.0699115044247788,-0.0647240845796802,8.40395833003431,6.01226205584928,5.151689109366746,0.0011028398125171,0.0028845408808056,75.47000122070312,8.406399726867676,9.53950023651123,3.15,252.772,0.6,-0.0517980475723717,2.03,108.8
2018-11-30,YAR.OL,2004-03-25,329.067447,333.070005,760142.0,329.067447,329.448643,1.88242108311613,33.764267874,1.41971909347902,94342116698.9998,273217830.0,-1.51169424125206,Basic Materials,1.66356,YAR.OL,-0.1054404145077718,0.0240213523131673,-0.0665044606650446,5.6455124337568,6.094221657668893,4.997813175474506,0.0011584129742252,0.002782182992962,58.709999084472656,8.53009033203125,9.72130012512207,3.01,252.594,0.6,-0.0322370271131912,1.975,109.4
2018-12-31,YAR.OL,2004-03-25,317.822165,313.819607,0.0,317.440969,317.822165,1.94902548725637,33.764267874,1.32596193213416,91118146304.9998,273217830.0,-3.41731827405511,Basic Materials,1.66078,YAR.OL,-0.1656242181636227,-0.0133136094674556,-0.1146801168038227,4.035705024543858,6.276164181227749,5.012007530748936,0.00119940029985,0.0,53.79999923706055,8.707500457763672,9.960800170898438,2.69,252.767,0.6,-0.071453413426175,1.868,109.3
2019-01-31,YAR.OL,2004-03-25,331.735819,340.122131,653221.0,331.735819,332.688809,1.86727951738006,33.764267874,1.33194562901052,95107126622.9999,273217830.0,4.37781109565998,Basic Materials,1.61933,YAR.OL,-0.040253653156879,-0.0327868852459016,-0.0604588394062077,4.0636953207334745,5.904118191688899,5.22331493691385,0.0028727377190462,0.0023908432330349,61.88999938964844,8.417499542236328,9.66860008239746,2.63,252.561,2.5,0.0448427370983206,1.815,108.8
2019-02-28,YAR.OL,2004-03-25,343.171699,345.93537,422595.0,343.171699,343.266998,1.80505415162455,31.786068448,1.38045900767214,98385740582.9996,272697830.0,3.09189808267643,Basic Materials,3.05237,YAR.OL,0.0428612800463363,-0.0670984455958548,0.0238839920386693,4.179065121656931,5.044445471126906,4.931148213663562,0.0002777006387115,0.0015496822985353,66.02999877929688,8.542900085449219,9.723190307617188,2.73,253.319,2.5,0.0358789333611189,1.734,109.8
2019-03-31,YAR.OL,2004-03-25,336.214872,336.596068,0.0,336.214872,336.40547,1.84240362811791,31.786068448,1.378625973023,96391250423.9992,272697830.0,-2.02721466388546,Basic Materials,3.04421,YAR.OL,0.0578710644677662,-0.1173380035026269,0.06553911205074,3.388294619456166,4.893824355764501,4.59956224969725,0.0005668934240361,0.0,68.38999938964844,8.62279987335205,9.800800323486328,2.41,254.277,2.5,-0.0025079094302867,1.705,110.0
2019-04-30,YAR.OL,2004-03-25,370.808409,368.235336,446576.0,370.522512,370.808409,1.67052171678232,31.786068448,1.38728893892811,106309057653.0,272697830.0,10.2891156463787,Basic Materials,2.93893,YAR.OL,0.1177822464808961,0.0727874276261373,0.1477876106194691,6.1873156306916695,5.161675984361799,5.357594638170796,0.0007710100231302,0.0016376221255592,72.80000305175781,8.652990341186523,9.676899909973145,2.51,255.233,3.4,0.0206230817567456,1.72,110.4
2019-05-31,YAR.OL,2004-03-25,358.228941,350.70032,806863.0,358.228941,358.32424,1.7291832934291,31.786068448,1.43917722746759,102702582296.999,272697830.0,-1.68698752233809,Basic Materials,2.94771,YAR.OL,0.0438767009164122,0.0886185925282363,0.1147686832740213,7.014684525183886,5.184617412409319,5.432071899416672,0.0002660281989889,0.002958817090697,64.48999786376953,8.77554988861084,9.768369674682615,2.14,255.296,3.4,-0.0327161085328454,1.691,110.1
2019-06-30,YAR.OL,2004-03-25,394.347262,390.249405,0.0,394.347262,394.633159,1.57080715321411,31.786068448,1.42668569595019,113057538053.999,272697830.0,11.4162627895822,Basic Materials,3.01787,YAR.OL,0.1729024943310657,0.2407796101949026,0.2242603550295858,7.261688009994871,5.724242581722806,6.101624672839178,0.0007249879168679,0.0,66.55000305175781,8.508000373840332,9.675800323486328,2.0,255.213,3.4,0.014716729021722,1.469,110.2
2019-07-31,YAR.OL,2004-03-25,397.015634,394.442561,541906.0,397.015634,397.968624,1.56024963994239,31.786068448,1.41046962216065,113822547977.999,272697830.0,0.676655387429048,Basic Materials,3.2052,YAR.OL,0.0706759187869441,0.1967825337546682,0.1575437621561544,6.983565752227566,5.903488342998184,5.962430155164493,0.0024003840614498,0.0019872031984999,65.16999816894531,8.753769874572754,9.76667022705078,2.02,255.802,4.8,-0.0063495254656574,1.454,111.0
2019-08-31,YAR.OL,2004-03-25,376.716947,370.71311,0.0,376.716947,376.907545,1.64432076903618,31.786068448,1.4589999521572,107680762406.1,272697830.0,-5.11281805065902,Basic Materials,3.20019,YAR.OL,0.0516094706038838,0.097750624826437,0.0240932642487048,8.38716959871783,6.915608265897739,5.992467283552473,0.0005059448520111,0.0,60.43000030517578,9.092659950256348,10.054539680480955,1.5,256.036,4.8,0.0025024598345428,1.181,110.2
2019-09-30,YAR.OL,2004-03-25,373.381482,370.903708,376598.0,373.381482,373.476781,1.65900969882593,31.786068448,1.415459471816,106727353176.6,272697830.0,-0.885403490150838,Basic Materials,3.22111,YAR.OL,-0.0531657805703238,0.1105442176870747,-0.0197648236177132,2.995248027953333,6.78861032956212,5.999704414898848,0.0002552322613578,0.0013810084223992,60.43000030517578,9.06879997253418,9.924099922180176,1.68,256.43,4.8,0.0293861512432345,1.212,110.8
2019-10-31,YAR.OL,2004-03-25,341.075121,348.317845,775454.0,340.979822,341.075121,1.81614976250349,31.786068448,1.42239124499309,97492903782.2998,272697830.0,-8.65237366141987,Basic Materials,3.07381,YAR.OL,-0.140902544407105,-0.0801850424055511,-0.0132340777502066,3.888558289594572,6.817923443064776,5.912261810237755,0.0002794076557698,0.0028436383230478,60.22999954223633,9.17372989654541,10.232290267944336,1.69,257.155,2.8,0.0129145189739761,1.256,110.9
2019-11-30,YAR.OL,2004-03-25,331.164025,335.166583,0.0,330.973427,331.164025,1.8705035971223,31.786068448,1.43546579102036,94659916357.5,272697830.0,-4.92476060223972,Basic Materials,3.03281,YAR.OL,-0.1209208196306603,-0.0755520085129024,0.0063712713582391,3.88452765552725,7.035615933876099,6.099411119077303,0.0005755395683452,0.0,62.43000030517578,9.185319900512695,10.132209777832031,1.78,257.879,2.8,0.0048995317341697,1.479,111.2
2019-12-31,YAR.OL,2004-03-25,348.031948,350.795619,0.0,348.031948,348.222546,1.77984665936473,31.786068448,1.42472198861186,99481443032.3995,272697830.0,5.09352518051838,Basic Materials,2.97108,YAR.OL,-0.0678917815211842,-0.1174480425326244,0.0950524737631184,7.10880773075184,4.912834934165517,6.127433056396345,0.0005476451259584,0.0,62.43000030517578,8.816180229187012,9.874919891357422,1.92,258.63,2.8,0.0321347438724917,1.483,110.9
2020-01-31,YAR.OL,2004-03-25,319.632846,320.20464,674268.0,319.537547,319.632846,1.93798449612403,31.786068448,1.36564518463615,91363844449.8,272697830.0,-8.15991237755672,Basic Materials,2.94656,YAR.OL,-0.0628667225481979,-0.1949111857897263,-0.0364837690318874,6.909967005952892,5.16000838129767,6.548248925362522,0.000298151460942,0.0024725829318113,58.15999984741211,9.189499855041504,10.13539981842041,1.51,259.127,-5.5,-0.0189382300899221,1.406,110.9
2020-02-29,YAR.OL,2004-03-25,324.96959,323.254208,0.0,324.778992,325.064889,4.39882697947214,32.425179816,1.12949943386063,92889299217.0,271040624.0,2.80373831817697,Basic Materials,3.32871,YAR.OL,-0.0187050359712229,-0.137364027321022,-0.0530408219938906,7.084000371245153,5.729770910071919,6.536102806598713,0.0008797653958943,0.0,50.52000045776367,9.394399642944336,10.35303020477295,1.13,259.25,-5.5,-0.0914303717580103,1.368,110.8
